transaction_id,customer_id,transaction_date,region,channel,product_category,quantity,unit_price,discount_rate,payment_type,line_total,is_weekend,days_since_prev_txn,txn_count_30d,basket_value_30d,quantity_std,unit_price_std,line_total_std,days_since_prev_txn_std,txn_count_30d_std,basket_value_30d_std,discount_rate_mm
488,1002,2024-05-07,EU,retail,apparel,1,61.51264554764468,0.07542753278995674,cash,56.87289845860273,False,60.0,0,0.0,-1.4788291289946056,-0.5722378205186588,-0.9135051675720663,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.15415856316968682
482,1003,2024-07-18,NA,online,sports,5,125.77882816496704,0.04187498318420622,card,602.5592092531493,False,60.0,0,0.0,1.2686471905494827,0.3071713199361218,1.337699657695167,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.08301125610126249
409,1003,2024-08-12,APAC,online,home,3,90.25087832692199,0.29228686218308764,cash,191.615196874435,False,25.0,1,602.5592092531493,-0.10509096922256139,-0.17898800300418816,-0.35763175392595203,-1.4451577865996368,3.8587503349609804,7.479747543961512,0.6140031198510459
949,1003,2024-08-15,NA,partner,apparel,1,48.02609051385556,0.228063583338181,card,37.07308821754184,False,3.0,2,794.1744061275843,-1.4788291289946056,-0.7567858874325286,-0.9951884120887754,-2.27980735357412,7.942084022750379,9.913428370426152,0.4778193307020841
996,1004,2024-05-30,APAC,online,beauty,1,26.615870748922983,0.20433769858002468,bank_transfer,21.177244974384664,False,60.0,0,0.0,-1.4788291289946056,-1.049760235582971,-1.0607660128143324,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.42750921036269607
913,1006,2024-03-31,LATAM,online,apparel,2,57.399042396345834,0.09192260790015336,wallet,104.24554545660452,True,60.0,0,0.0,-0.7919600491085834,-0.6285277706001301,-0.7180714002263147,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.18913594008356355
739,1006,2024-06-26,EU,retail,apparel,7,47.43808571736447,0.07102240500932253,card,308.482431464752,False,87.0,0,0.0,2.642385350321527,-0.7648320599544692,0.1244988717118509,0.9070364476011793,-0.22458335282841688,-0.17328216500273388,0.14481760450731698
622,1008,2024-04-24,EU,partner,sports,7,116.87227699148112,0.11662952328984333,card,722.690633281163,False,60.0,0,0.0,2.642385350321527,0.1852953628945938,1.8332965529962668,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.2415263103117199
294,1009,2024-03-20,NA,online,beauty,1,33.00689029600934,0.04066996481087466,card,31.664501229154236,False,60.0,0,0.0,-1.4788291289946056,-0.9623064491958206,-1.017501299337875,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.08045604604307306
237,1009,2024-06-08,NA,online,sports,2,131.21923919253547,0.08497660471960004,card,240.13734754412948,True,80.0,0,0.0,-0.7919600491085834,0.3816171169420433,-0.15745575984446078,0.641466130836571,-0.22458335282841688,-0.17328216500273388,0.17440712135020622
550,1009,2024-06-12,NA,online,beauty,3,25.300125802612055,0.08829394761440308,card,69.19883346107525,False,4.0,1,240.13734754412948,-0.10509096922256139,-1.0677646989752176,-0.8626550659576541,-2.2418687368934616,3.8587503349609804,2.8766724730899376,0.18144146050955753
190,1014,2024-03-13,EU,partner,home,3,97.61698187198357,0.04112915815247029,card,280.80623275861177,False,60.0,0,0.0,-0.10509096922256139,-0.07819130833140582,0.010321933716835577,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.08142975355746955
279,1016,2024-01-16,APAC,retail,electronics,3,196.92468076058645,0.11263561781765329,card,524.231843038721,False,60.0,0,0.0,-0.10509096922256139,1.2807208685469649,1.0145635604827445,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.23305733783806132
807,1017,2024-05-10,NA,online,home,2,71.72785697339191,0.10983039171954508,card,127.69991668960154,False,60.0,0,0.0,-0.7919600491085834,-0.4324543460127552,-0.6213114254040554,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.2271089290004731
175,1017,2024-06-16,EU,online,home,4,101.61188720826485,0.1311078342613876,card,353.1590909647074,True,37.0,0,0.0,0.5817781106634606,-0.023525601969217207,0.30881046145409063,-0.989894386431737,-0.22458335282841688,-0.17328216500273388,0.27222719142592444
532,1018,2024-02-09,NA,retail,apparel,3,44.72935934329506,0.19053931720135012,cash,108.61997326550936,False,60.0,0,0.0,-0.10509096922256139,-0.8018978795711693,-0.7000248910938958,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.39825010223138635
763,1020,2024-08-15,NA,online,electronics,6,259.7487492030032,0.15065101511343867,wallet,1323.7040187667485,False,60.0,0,0.0,1.955516270435505,2.140396327377258,4.312750786483091,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.313667997132574
70,1021,2024-04-22,NA,online,sports,2,124.7795156840965,0.24064477438376955,wallet,189.50395456916212,False,60.0,0,0.0,-0.7919600491085834,0.2934968725976047,-0.3663415910080262,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.5044974184517431
682,1024,2024-02-02,APAC,retail,apparel,6,43.51728371441474,0.1775612003933917,card,214.74181548134078,False,60.0,0,0.0,1.955516270435505,-0.8184837470297497,-0.262223908117661,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.37073034374640246
121,1027,2024-04-15,EU,online,apparel,3,50.825874061873634,0.12672201377735845,wallet,133.15535084627578,False,60.0,0,0.0,-0.10509096922256139,-0.7184740546279712,-0.5988052722268746,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.2629271733828626
38,1029,2024-07-17,NA,online,apparel,1,39.288810580803016,0.16868430293939538,wallet,32.661404954662316,False,60.0,0,0.0,-1.4788291289946056,-0.8763455613218485,-1.0133886169546151,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.35190711402480335
624,1033,2024-04-10,NA,partner,sports,3,117.27896914757011,0.0440404042866906,card,336.3418677959544,False,60.0,0,0.0,-0.10509096922256139,0.19086047949013785,0.23943174845326776,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.08760297511877935
366,1035,2024-05-04,EU,retail,home,2,96.22017647432128,0.1999160267744498,card,153.96844219607718,True,60.0,0,0.0,-0.7919600491085834,-0.09730499120650629,-0.5129417811541774,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.41813317052657245
652,1036,2024-06-05,NA,online,sports,7,80.12495791913753,0.08421273348889635,wallet,513.6419133445892,False,60.0,0,0.0,2.642385350321527,-0.31754963214509563,0.9708752722573025,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.17278735231178133
594,1038,2024-08-23,NA,online,beauty,4,31.1540650988634,0.1671639532182086,bank_transfer,103.7849136724799,False,60.0,0,0.0,0.5817781106634606,-0.987660240998539,-0.719971716350395,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.3486832520609385
529,1041,2024-08-07,NA,retail,sports,5,143.5424812280371,0.1813207891391928,wallet,587.5762262838582,False,60.0,0,0.0,1.2686471905494827,0.5502465771760118,1.2758880217971496,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.3787024537079852
167,1043,2024-03-18,APAC,retail,apparel,2,47.08576590357848,0.19176344126626504,wallet,76.11287479850101,False,60.0,0,0.0,-0.7919600491085834,-0.7696531532882938,-0.8341314931411641,-0.1173062027765955,-0.22458335282841688,-0.17328216500273388,0.400845825410689
